Date,League,Season,Home Team,Away Team,Home Goals,Away Goals,Venue,Result,Home Win,Away Win,Draw,Total Goals,Goal Difference,Home Points,Away Points
2025-12-07,Juja Sub County League,2025/2026,Tumaini FC,Supreme Utd,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-12-07,Juja Sub County League,2025/2026,Wepro Gremio Youth,Mwireri Sportive,2,2,Not listed,Draw,0,0,1,4,0,1,1
2025-12-07,Juja Sub County League,2025/2026,Westview FC,Titanic FC,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-05-31,National Super League,2024/2025,Fortune Sacco,Mombasa United FC,5,1,Not listed,Home,1,0,0,6,4,3,0
2025-05-25,National Super League,2024/2025,APS Bomet,Kisumu Allstars,4,0,Not listed,Home,1,0,0,4,4,3,0
2025-05-24,National Super League,2024/2025,Naivas FC,Samwest Blackboots,4,1,Not listed,Home,1,0,0,5,3,3,0
2025-05-23,National Super League,2024/2025,Fortune Sacco,Luanda Villa,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-05-23,National Super League,2024/2025,Mombasa Stars,Vihiga United,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-05-23,National Super League,2024/2025,Mombasa United FC,Darajani Gogo,0,2,Not listed,Away,0,1,0,2,-2,0,3
2025-05-23,National Super League,2024/2025,Nairobi United,3K FC,2,1,Not listed,Home,1,0,0,3,1,3,0
2025-05-23,National Super League,2024/2025,Nzoia Sugar,Kibera Black Stars,3,2,Not listed,Home,1,0,0,5,1,3,0
2025-05-23,National Super League,2024/2025,SS Assad,MCF FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-05-18,National Super League,2024/2025,3K FC,Mombasa United FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-05-18,National Super League,2024/2025,Kibera Black Stars,Fortune Sacco,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-05-18,National Super League,2024/2025,Luanda Villa,SS Assad,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-05-18,National Super League,2024/2025,Samwest Blackboots,Nairobi United,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-05-18,National Super League,2024/2025,Vihiga United,Nzoia Sugar,3,0,Not listed,Home,1,0,0,3,3,3,0
2025-05-17,National Super League,2024/2025,Darajani Gogo,APS Bomet,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-05-17,National Super League,2024/2025,Kisumu Allstars,MOFA FC.,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-05-17,National Super League,2024/2025,MCF FC,Naivas FC,2,1,Not listed,Home,1,0,0,3,1,3,0
2025-05-14,National Super League,2024/2025,Fortune Sacco,Migori Youth FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-05-14,National Super League,2024/2025,Nairobi United,Luanda Villa,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-05-11,National Super League,2024/2025,3K FC,Darajani Gogo,0,2,Not listed,Away,0,1,0,2,-2,0,3
2025-05-11,National Super League,2024/2025,APS Bomet,Vihiga United,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-05-11,National Super League,2024/2025,MOFA FC.,Samwest Blackboots,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-05-11,National Super League,2024/2025,Migori Youth FC,Kibera Black Stars,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-05-11,National Super League,2024/2025,Mombasa United FC,Luanda Villa,3,1,Not listed,Home,1,0,0,4,2,3,0
2025-05-10,National Super League,2024/2025,Fortune Sacco,MCF FC,2,1,Not listed,Home,1,0,0,3,1,3,0
2025-05-10,National Super League,2024/2025,Mombasa Stars,Kisumu Allstars,3,1,Not listed,Home,1,0,0,4,2,3,0
2025-05-10,National Super League,2024/2025,Naivas FC,Darajani Gogo,2,2,Not listed,Draw,0,0,1,4,0,1,1
2025-05-10,National Super League,2024/2025,Nzoia Sugar,3K FC,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-04-23,National Super League,2024/2025,Migori Youth FC,Nairobi United,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-04-20,National Super League,2024/2025,APS Bomet,3K FC,3,2,Not listed,Home,1,0,0,5,1,3,0
2025-04-20,National Super League,2024/2025,Fortune Sacco,Mombasa Stars,2,1,Not listed,Home,1,0,0,3,1,3,0
2025-04-20,National Super League,2024/2025,Nzoia Sugar,Luanda Villa,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-04-19,National Super League,2024/2025,Darajani Gogo,Kisumu Allstars,1,2,Not listed,Away,0,1,0,3,-1,0,3
2025-04-19,National Super League,2024/2025,Mombasa United FC,Migori Youth FC,4,1,Not listed,Home,1,0,0,5,3,3,0
2025-04-19,National Super League,2024/2025,Nairobi United,MCF FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-04-19,National Super League,2024/2025,SS Assad,MOFA FC.,2,2,Not listed,Draw,0,0,1,4,0,1,1
