Date,League,Season,Home Team,Away Team,Home Goals,Away Goals,Venue,Result,Home Win,Away Win,Draw,Total Goals,Goal Difference,Home Points,Away Points
2026-05-10,FKF Women Premier League,2025/2026,Zetech Sparks WFC,Kibera Soccer Women,0,3,Not listed,Away,0,1,0,3,-3,0,3
2026-05-10,Machakos County League,2025/2026,Celtic TYSA,Ivovoani Vipers,1,1,Not listed,Draw,0,0,1,2,0,1,1
2026-05-10,Machakos County League,2025/2026,FC Mosko,Mwanga FC,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-05-10,Machakos County League,2025/2026,Matetani FC,Masii United,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-05-09,FKF Division One,2025/2026,Kahawa United,Teita Estate,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-05-09,FKF Division One,2025/2026,Spitfire FC,Gituru FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2026-05-09,FKF Division One,2025/2026,Strathmore University,Al-Azizia FC,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-05-03,Machakos County League,2025/2026,Ivovoani Vipers,Matetani FC,5,0,Not listed,Home,1,0,0,5,5,3,0
2026-05-02,FKF Women Premier League,2025/2026,Kayole Starlets,Trinity Starlets FC,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-05-02,FKF Women Premier League,2025/2026,Kenya Police Bullets,Vihiga Queens FC,9,0,Not listed,Home,1,0,0,9,9,3,0
2026-05-02,FKF Women Premier League,2025/2026,Kibera Soccer Women,Bungoma Queens FC,4,3,Not listed,Home,1,0,0,7,1,3,0
2026-05-02,FKF Women Premier League,2025/2026,Madira Soccer Assassins,Zetech Sparks WFC,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-05-02,FKF Women Premier League,2025/2026,Ulinzi Starlets FC,Gideon Starlets,5,0,Not listed,Home,1,0,0,5,5,3,0
2026-04-26,FKF Women Premier League,2025/2026,Ulinzi Starlets FC,Kenya Police Bullets,0,3,Not listed,Away,0,1,0,3,-3,0,3
2026-04-26,FKF Women Premier League,2025/2026,Vihiga Queens FC,Kayole Starlets,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-04-26,Machakos County League,2025/2026,Celtic TYSA,Mackenzie FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-04-26,Machakos County League,2025/2026,FC Mosko,Ivovoani Vipers,0,0,Not listed,Draw,0,0,1,0,0,1,1
2026-04-26,Machakos County League,2025/2026,Masii United,Kikombi wazito fc,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-04-24,Kenyan Premier League,2025/2026,Posta Rangers,Bidco United,1,1,Not listed,Draw,0,0,1,2,0,1,1
2026-04-24,Kenyan Premier League,2025/2026,Tusker FC,Mara Sugar FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-04-24,Nairobi West County League Zone D,2025/2026,Kibagare Sportiff,Uthiru Vision,1,1,Not listed,Draw,0,0,1,2,0,1,1
2026-04-24,Nairobi West County League Zone D,2025/2026,Mathare All Stars,Uthiru Vision,1,1,Not listed,Draw,0,0,1,2,0,1,1
2026-04-24,Nairobi West County League Zone D,2025/2026,Sparks FC,Kipande FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-04-24,Nairobi West County League Zone D,2025/2026,Uthiru Vision,Runda Union,2,1,Not listed,Home,1,0,0,3,1,3,0
2026-04-24,Nairobi West County League Zone D,2025/2026,Uthiru Vision,Kitisuru FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2026-04-19,Machakos County League,2025/2026,Ivovoani Vipers,Masii United,3,2,Not listed,Home,1,0,0,5,1,3,0
2026-04-19,Machakos County League,2025/2026,Kabaa Young Cobras,Mackenzie FC,1,4,Not listed,Away,0,1,0,5,-3,0,3
2026-04-17,Nairobi West County League Zone D,2025/2026,Kangemi Atletico,Kibagare Sportiff,0,2,Not listed,Away,0,1,0,2,-2,0,3
2026-04-17,Nairobi West County League Zone D,2025/2026,Kangemi Atletico,Sparks FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2026-04-14,Kenyan Premier League,2025/2026,Mathare UTD,Kenya Police FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2026-04-14,Kenyan Premier League,2025/2026,Tusker FC,Gor Mahia FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2026-04-14,Nairobi West County League Zone D,2025/2026,Diamond FC,Gachie Soccer Club,3,2,Not listed,Home,1,0,0,5,1,3,0
2026-04-14,Nairobi West County League Zone D,2025/2026,FC Talent,Gachie Soccer Club,0,6,Not listed,Away,0,1,0,6,-6,0,3
2026-04-14,Nairobi West County League Zone D,2025/2026,Gachie Soccer Club,Real Stars,3,0,Not listed,Home,1,0,0,3,3,3,0
